"Words : [ WAVE,  SHOUT,  DANCE,  SNAP,  CAVE,  BUTTON,  SEA,  COLLAPSE,  FLOP,  BUCKLE, MASS,  GIVE,  SLEW,  LAUGH,  TON,  WHISTLE]
Groupings:
assistant

Category1: [WAVE, DANCE, SNAP, FLOP]
Category2: [CAVE, BUTTON, SEA, GIVE]
Category3: [BUCKLE, COLLAPSE, MASS, WHISTLE]
Category4: [LAUGH, TON, SLEW, SHOUT]"
"Words : [ OKAY,  VERSE,  COUCH,  FOOT,  LINE,  ASSET,  SLEEPER, AGENT,  THOUSAND,  INTIMATE,  IMPLY,  MOLE,  METER,  POTASSIUM,  KELVIN,  SUGGEST]
Groupings:
assistant

Category1: [OKAY, VERSE, COUCH, FOOT]
Category2: [ASSET, SLEEPER, AGENT, THOUSAND]
Category3: [INTIMATE, IMPLY, METER, MOLE]
Category4: [KELVIN, SUGGEST, METER, POTTASIUM]"
